player_name,bat_balls,bat_runs,bat_boundaries,bat_dots,bat_sr,bat_boundary_pct,bat_dot_pct,bowl_balls,bowl_runs,bowl_wickets,bowl_dots,bowl_economy,bowl_sr,bowl_dot_pct,pp_economy,mid_economy,death_economy,cluster,archetype
A Bohara,12.0,5.0,0.0,7.0,41.67,0.0,58.33,302.0,380.0,27.0,114.0,7.55,11.19,37.75,6.33,7.54,7.81,2,Anchor Batter
A Gharti,102.0,96.0,9.0,42.0,94.12,8.82,41.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Anchor Batter
A Ghiraiya,71.0,44.0,6.0,47.0,61.97,8.45,66.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Anchor Batter
A Kharel,22.0,17.0,2.0,8.0,77.27,9.09,36.36,86.0,123.0,5.0,36.0,8.58,17.2,41.86,8.52,9.31,3.0,2,Anchor Batter
A Mahata,26.0,35.0,5.0,6.0,134.62,19.23,23.08,50.0,73.0,4.0,16.0,8.76,12.5,32.0,0.0,8.9,8.53,2,Anchor Batter
A Saud,143.0,155.0,22.0,69.0,108.39,15.38,48.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Anchor Batter
A Tripathi,172.0,137.0,14.0,87.0,79.65,8.14,50.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Anchor Batter
A Yadav,24.0,12.0,0.0,13.0,50.0,0.0,54.17,54.0,69.0,3.0,21.0,7.67,18.0,38.89,0.0,6.88,14.0,2,Anchor Batter
AGS Gous,138.0,225.0,39.0,54.0,163.04,28.26,39.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Anchor Batter
AK Sah,192.0,205.0,25.0,85.0,106.77,13.02,44.27,116.0,137.0,4.0,45.0,7.09,29.0,38.79,6.98,5.63,13.5,2,Anchor Batter
AM Rossington,223.0,323.0,50.0,85.0,144.84,22.42,38.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Anchor Batter
AR Ramjani,22.0,33.0,3.0,7.0,150.0,13.64,31.82,24.0,21.0,0.0,13.0,5.25,999.0,54.17,5.67,0.0,4.0,0,Death Specialist
AS Routela,68.0,98.0,11.0,23.0,144.12,16.18,33.82,70.0,90.0,5.0,22.0,7.71,14.0,31.43,0.0,7.5,10.0,2,Anchor Batter
