player_name,status,S1_economy,S2_economy,S1_wickets,S2_wickets,S2_matches
WD Parnell,departed,8.3,8.842105263157896,0,1,7
A Yadav,departed,7.666666666666667,8.3,3,0,0
SP Krishnamurthi,departed,8.3,6.639344262295082,0,6,7
LN Rajbanshi,retained,5.4590163934426235,7.03448275862069,17,4,7
H Thaker,departed,6.319148936170213,8.3,12,0,0
B Aagri,departed,8.3,5.0,0,0,7
JN Loftie-Eaton,departed,8.3,8.333333333333334,0,2,7
AK Sah,departed,8.3,7.086206896551724,0,4,7
MMMS Cooray,departed,8.3,5.26027397260274,0,7,7
Sachin Bhatt,departed,8.3,9.923076923076923,0,0,7
SMLD Samarakoon,departed,8.3,6.0,0,0,7
Mohammad Mohsin,departed,6.0,8.3,12,0,0
Rupesh Singh,departed,8.3,10.145454545454546,0,5,7
BWM Mike,departed,8.454545454545455,8.3,1,0,0
Mayan Yadav,departed,8.3,6.333333333333333,0,2,7
JDS Neesham,departed,8.560975609756097,8.3,9,0,0
TB Thapa,retained,9.5,7.5,0,0,7
S Malla,departed,6.65546218487395,8.3,7,0,0
K Mahato,retained,7.603686635944701,8.639999999999999,15,1,7
A Mahata,departed,8.3,8.76,0,4,7
Maaz Sadaqat,departed,8.3,6.59016393442623,0,5,7
