season,batter_name,matches_chased,wins,balls_faced,runs_scored,strike_rate,dismissals,batting_avg
S1,BKEL Milantha,8,6,200,257,128.5,7,36.7
S1,JDS Neesham,7,5,101,201,199.0,6,33.5
S1,Aasif Sheikh,8,6,137,135,98.5,8,16.9
S1,H Thaker,7,5,138,125,90.6,3,41.7
S1,AK Sah,6,4,78,87,111.5,5,17.4
S1,Mohammad Mohsin,4,3,30,36,120.0,3,12.0
S1,S Kansakar,4,2,30,23,76.7,4,5.8
S1,S Malla,3,1,22,21,95.5,2,10.5
S1,Mayan Yadav,2,2,21,16,76.2,1,16.0
S1,A Tripathi,2,2,27,15,55.6,2,7.5
S1,J Tromp,1,0,14,13,92.9,1,13.0
S1,K Mahato,2,0,19,4,21.1,0,
S1,LN Rajbanshi,2,0,13,4,30.8,2,2.0
S1,A Yadav,1,0,4,1,25.0,1,1.0
S2,SP Krishnamurthi,4,1,80,101,126.2,3,33.7
S2,Maaz Sadaqat,3,1,61,95,155.7,3,31.7
S2,JN Loftie-Eaton,4,1,55,67,121.8,2,33.5
S2,AK Sah,4,1,63,66,104.8,5,13.2
S2,WD Parnell,1,0,40,50,125.0,1,50.0
S2,Aasif Sheikh,4,1,34,31,91.2,4,7.8
S2,MMMS Cooray,2,0,34,25,73.5,2,12.5
S2,BKEL Milantha,1,0,22,23,104.5,1,23.0
S2,A Mahata,3,1,12,20,166.7,1,20.0
S2,Mayan Yadav,3,0,32,17,53.1,3,5.7
S2,LN Rajbanshi,2,0,15,15,100.0,0,
S2,Rupesh Singh,2,0,23,15,65.2,2,7.5
S2,S Kansakar,1,0,2,4,200.0,1,4.0
S2,K Mahato,2,0,6,3,50.0,1,3.0
