player_name,status
A Bohara,Retained
A Gharti,Retained
A Saud,Retained
A Tripathi,Retained
AK Sah,Retained
AS Routela,Retained
Aakash Chand,Retained
Aasif Sheikh,Retained
Abhishesh Gautam,Retained
B Bhandari,Retained
B Sharki,Retained
BKEL Milantha,Retained
Basir Ahamad,Retained
Bipin Khatri,Retained
D Kharel,Retained
D Nath,Retained
DA Douthwaite,Retained
DS Airee,Retained
Gulsan Jha,Retained
H Dhami,Retained
Harmeet Singh,Retained
I Pandey,Retained
JDS Neesham,Retained
K Bhurtel,Retained
K Mahato,Retained
Karan KC,Retained
Kushal Malla,Retained
LN Rajbanshi,Retained
Lokesh Bam,Retained
MG Erasmus,Retained
MJ Guptill,Retained
Mayan Yadav,Retained
N Joshi,Retained
NK Yadav,Retained
Pratis GC,Retained
R Kumar,Retained
RK Paudel,Retained
RS Bopara,Retained
Rashid Khan,Retained
S Dhakal,Retained
S Jora,Retained
S Kansakar,Retained
S Lamichhane,Retained
S Maharjan,Retained
S Malla,Retained
SA Zaib,Retained
SC Kuggeleijn,Retained
Shahab Alam,Retained
Sohail Tanvir,Retained
Sompal Kami,Retained
TB Thapa,Retained
WG Bosisto,Retained
A Ghiraiya,Departed
A Kharel,Departed
A Yadav,Departed
AGS Gous,Departed
Aarif Sheikh,Departed
Aqib Ilyas,Departed
B Karki,Departed
B Rawal,Departed
B Yadav,Departed
BCJ Cutting,Departed
BJ McMullen,Departed
BP Sharma,Departed
BWM Mike,Departed
Babar Hayat,Departed
Basil Hameed,Departed
CAK Walton,Departed
CB Sole,Departed
D Gupta,Departed
D Kandel,Departed
D Khanal,Departed
H Thaker,Departed
Hassan Eisakhil,Departed
J Tromp,Departed
JA Kolsawala,Departed
JK Mukhiya,Departed
M Levitt,Departed
MA Leask,Departed
MJJ Critchley,Departed
Mohammad Mohsin,Departed
N Saud,Departed
NB Budayair,Departed
NR Kirton,Departed
P Shrestha,Departed
R Dhakal,Departed
RA Reifer,Departed
RP Magar,Departed
RR Simmonds,Departed
S Dhawan,Departed
S Karki,Departed
SM Dhakal,Departed
SS Eskinazi,Departed
Saad Bin Zafar,Departed
TJ Moores,Departed
UBS Thakuri,Departed
Zeeshan Maqsood,Departed
A Mahata,New Recruit
AM Rossington,New Recruit
B Aagri,New Recruit
BG Charlesworth,New Recruit
CA Lynn,New Recruit
D Rawat,New Recruit
DJ Malan,New Recruit
DJM Short,New Recruit
HG Munsey,New Recruit
Imran Sheikh,New Recruit
J Brown,New Recruit
JA Simpson,New Recruit
JJ Smit,New Recruit
JN Loftie-Eaton,New Recruit
K Thagunna,New Recruit
KS Airee,New Recruit
M de Lange,New Recruit
MMMS Cooray,New Recruit
MRJ Watt,New Recruit
Maaz Sadaqat,New Recruit
Milind Kumar,New Recruit
Mohammad Aadil Alam,New Recruit
N Bhatta,New Recruit
N Dickwella,New Recruit
Najibullah Zadran,New Recruit
P Sarraf,New Recruit
Priyank Panchal,New Recruit
R Trumpelmann,New Recruit
Rupesh Singh,New Recruit
SL Verma,New Recruit
SMLD Samarakoon,New Recruit
SP Krishnamurthi,New Recruit
Sachin Bhatt,New Recruit
Santosh Yadav,New Recruit
Saugat Dhakal,New Recruit
Shubham Ranjane,New Recruit
Surya Tamang,New Recruit
TR Bhandari,New Recruit
TR Das,New Recruit
WD Parnell,New Recruit
