player_name,role,s1_runs,s2_runs,s3_runs_pred,s3_runs_range,runs_trend,runs_delta,s1_strike_rate,s2_strike_rate,s3_strike_rate_pred,s3_sr_range,sr_trend,recommendation,priority,max_bid,reason
A Tripathi,Batter,19.0,118.0,147.7,103.39-192.01,IMPROVING,99.0,61.29,83.69,76.97,65.42-88.52,STABLE,✅ TARGET,8,₨15-20 lakh,Runs improving - high potential for S3
Aarif Sheikh,Batter,69.0,186.0,221.1,154.77-287.43,IMPROVING,117.0,97.18,116.98,111.04,94.38-127.7,STABLE,✅ TARGET,8,₨15-20 lakh,Runs improving - high potential for S3
D Nath,Batter,46.0,122.0,144.8,101.36-188.24,IMPROVING,76.0,88.46,98.39,95.41,81.1-109.72,STABLE,✅ TARGET,8,₨15-20 lakh,Runs improving - high potential for S3
D Adhikari,Batter,14.0,47.0,56.9,39.83-73.97,IMPROVING,33.0,87.5,195.83,228.33,159.83-296.83,IMPROVING,✅ TARGET,8,₨15-20 lakh,Runs improving - high potential for S3
Mayan Yadav,Batter,16.0,84.0,104.4,73.08-135.72,IMPROVING,68.0,76.19,89.36,85.41,72.6-98.22,STABLE,✅ TARGET,8,₨15-20 lakh,Runs improving - high potential for S3
N Bhatta,Batter,11.0,49.0,60.4,42.28-78.52,IMPROVING,38.0,40.74,79.03,90.52,63.36-117.67,IMPROVING,✅ TARGET,8,₨15-20 lakh,Runs improving - high potential for S3
AK Sah,Batter,132.0,,,,INSUFFICIENT_DATA,,112.82,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
AGS Gous,Batter,225.0,,,,INSUFFICIENT_DATA,,163.04,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Abhisekh Tiwari,Batter,,14.0,,,INSUFFICIENT_DATA,,,60.87,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
AR Ramjani,Batter,,33.0,,,INSUFFICIENT_DATA,,,150.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
AS Routela,Batter,85.0,,,,INSUFFICIENT_DATA,,149.12,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Aakarshit Gomel,Batter,8.0,,,,INSUFFICIENT_DATA,,53.33,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
B Aagri,Batter,,0.0,,,INSUFFICIENT_DATA,,,0.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Arjun Kumal,Batter,,43.0,,,INSUFFICIENT_DATA,,,81.13,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
A Shrestha,Batter,1.0,,,,INSUFFICIENT_DATA,,20.0,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
A Ghiraiya,Batter,44.0,,,,INSUFFICIENT_DATA,,61.97,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Gautam KC,Batter,,0.0,,,INSUFFICIENT_DATA,,,0.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Deepak Bohara,Batter,,57.0,,,INSUFFICIENT_DATA,,,96.61,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
B Khatri,Batter,4.0,,,,INSUFFICIENT_DATA,,100.0,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
B Bhandari,Batter,235.0,264.0,255.3,217.0-293.59,STABLE,29.0,105.38,108.64,107.66,91.51-123.81,STABLE,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
