bowler_name,phase,s1_balls,s1_economy_raw,s1_economy_shrunk,s2_balls,s2_economy_raw,s2_economy_shrunk,s3_economy_proj,specialist_flag
A Bohara,Death,37,10.54,9.42,56,6.0,7.41,6.81,SPECIALIST
A Bohara,Middle,94,6.96,6.91,97,8.1,7.61,7.82,AVERAGE
A Bohara,Powerplay,12,5.0,6.38,6,9.0,6.86,7.0,AVERAGE
A Kharel,Death,6,3.0,8.21,0,,8.73,8.89,AVERAGE
A Kharel,Middle,49,9.31,7.94,0,,6.82,6.48,AVERAGE
A Kharel,Powerplay,31,8.52,7.29,0,,6.65,6.46,AVERAGE
A Mahata,Death,0,,8.73,19,8.53,8.68,8.66,AVERAGE
A Mahata,Middle,0,,6.82,31,8.9,7.53,7.74,AVERAGE
A Yadav,Death,6,14.0,9.21,0,,8.73,8.59,AVERAGE
A Yadav,Middle,48,6.88,6.85,0,,6.82,6.81,AVERAGE
AK Sah,Death,0,,8.73,12,13.5,9.53,9.77,AVERAGE
AK Sah,Middle,0,,6.82,49,5.63,6.29,6.13,AVERAGE
AK Sah,Powerplay,0,,6.65,55,6.98,6.81,6.86,AVERAGE
AR Ramjani,Death,0,,8.73,6,4.0,8.3,8.17,AVERAGE
AR Ramjani,Powerplay,0,,6.65,18,5.67,6.42,6.35,AVERAGE
AS Routela,Death,6,10.0,8.85,0,,8.73,8.69,AVERAGE
AS Routela,Middle,52,7.04,6.92,12,9.5,7.27,7.37,AVERAGE
Aakarshit Gomel,Middle,6,13.0,7.38,0,,6.82,6.65,AVERAGE
Aakash Chand,Death,13,10.62,9.07,31,11.42,9.65,9.82,AVERAGE
Aakash Chand,Middle,13,9.69,7.33,19,7.58,7.0,6.9,AVERAGE
Aakash Chand,Powerplay,20,9.0,7.24,38,11.84,8.66,9.09,LIABILITY
Abhishesh Gautam,Death,12,6.0,8.28,34,10.24,9.28,9.58,AVERAGE
Abhishesh Gautam,Middle,49,5.02,6.01,67,7.25,7.05,7.36,AVERAGE
Abhishesh Gautam,Powerplay,36,5.67,6.28,93,5.03,5.67,5.49,AVERAGE
Aqib Ilyas,Death,6,5.0,8.39,0,,8.73,8.83,AVERAGE
Aqib Ilyas,Middle,30,7.8,7.15,0,,6.82,6.72,AVERAGE
Aqib Ilyas,Powerplay,6,6.0,6.59,0,,6.65,6.67,AVERAGE
B Aagri,Death,6,3.0,8.21,0,,8.73,8.89,AVERAGE
B Aagri,Middle,0,,6.82,6,5.0,6.65,6.6,AVERAGE
B Aagri,Powerplay,6,11.0,7.05,0,,6.65,6.53,AVERAGE
B Karki,Middle,18,9.67,7.48,0,,6.82,6.62,AVERAGE
B Karki,Powerplay,12,5.0,6.38,0,,6.65,6.73,AVERAGE
B Khatri,Death,6,12.0,9.03,0,,8.73,8.64,AVERAGE
B Sharki,Death,6,7.0,8.57,0,,8.73,8.78,AVERAGE
B Sharki,Middle,25,5.76,6.51,6,9.0,7.02,7.17,AVERAGE
B Yadav,Death,34,13.24,10.36,0,,8.73,8.24,AVERAGE
B Yadav,Middle,63,7.71,7.28,0,,6.82,6.68,AVERAGE
B Yadav,Powerplay,6,16.0,7.5,0,,6.65,6.4,AVERAGE
BFW de Leede,Death,12,4.0,7.94,0,,8.73,8.97,AVERAGE
BFW de Leede,Powerplay,13,5.54,6.45,0,,6.65,6.71,AVERAGE
BJ McMullen,Middle,48,5.25,6.12,0,,6.82,7.03,AVERAGE
