match_id,season,match_date,team_1,team_2,team_1_pre,team_2_pre,team_1_post,team_2_post,winner,score_team_1
espn_1462596,S1,2024-11-30,Biratnagar Kings,Janakpur Bolts,1500.0,1500.0,1488.0,1512.0,Janakpur Bolts,0.0
espn_1462640,S1,2024-12-02,Chitwan Rhinos,Kathmandu Gorkhas,1500.0,1500.0,1512.0,1488.0,Chitwan Rhinos,1.0
espn_1462641,S1,2024-12-02,Janakpur Bolts,Karnali Yaks,1512.0,1500.0,1523.585699413623,1488.414300586377,Janakpur Bolts,1.0
espn_1462642,S1,2024-12-03,Biratnagar Kings,Sudurpaschim Royals,1488.0,1500.0,1476.414300586377,1511.585699413623,Sudurpaschim Royals,0.0
espn_1462643,S1,2024-12-03,Chitwan Rhinos,Pokhara Avengers,1512.0,1500.0,1523.585699413623,1488.414300586377,Chitwan Rhinos,1.0
espn_1462644,S1,2024-12-04,Karnali Yaks,Kathmandu Gorkhas,1488.414300586377,1488.0,1476.3999911578462,1500.0143094285309,Kathmandu Gorkhas,0.0
espn_1462645,S1,2024-12-04,Biratnagar Kings,Lumbini Lions,1476.414300586377,1500.0,1489.227672723766,1487.186627862611,Biratnagar Kings,1.0
espn_1462646,S1,2024-12-05,Janakpur Bolts,Pokhara Avengers,1523.585699413623,1488.414300586377,1534.375054992543,1477.624945007457,Janakpur Bolts,1.0
espn_1462647,S1,2024-12-05,Kathmandu Gorkhas,Sudurpaschim Royals,1500.0143094285309,1511.585699413623,1488.4138233728174,1523.1861854693364,Sudurpaschim Royals,0.0
espn_1462648,S1,2024-12-06,Chitwan Rhinos,Karnali Yaks,1523.585699413623,1476.3999911578462,1509.9659094270125,1490.0197811444566,Karnali Yaks,0.0
espn_1462649,S1,2024-12-06,Lumbini Lions,Pokhara Avengers,1487.186627862611,1477.624945007457,1474.856462387083,1489.955110482985,Pokhara Avengers,0.0
espn_1462650,S1,2024-12-07,Lumbini Lions,Sudurpaschim Royals,1474.856462387083,1523.1861854693364,1464.5150279361703,1533.527619920249,Sudurpaschim Royals,0.0
espn_1462651,S1,2024-12-07,Biratnagar Kings,Karnali Yaks,1489.227672723766,1490.0197811444566,1477.2550311319876,1501.992422736235,Karnali Yaks,0.0
espn_1462652,S1,2024-12-08,Janakpur Bolts,Lumbini Lions,1534.375054992543,1464.5150279361703,1543.9941756835306,1454.8959072451828,Janakpur Bolts,1.0
espn_1462653,S1,2024-12-08,Chitwan Rhinos,Sudurpaschim Royals,1509.9659094270125,1533.527619920249,1522.7784568191553,1520.7150725281062,Chitwan Rhinos,1.0
espn_1462654,S1,2024-12-10,Chitwan Rhinos,Lumbini Lions,1522.7784568191553,1454.8959072451828,1508.4632619999377,1469.2111020644004,Lumbini Lions,0.0
espn_1462655,S1,2024-12-10,Karnali Yaks,Pokhara Avengers,1501.992422736235,1489.955110482985,1513.5768349711905,1478.3706982480296,Karnali Yaks,1.0
espn_1462656,S1,2024-12-11,Janakpur Bolts,Sudurpaschim Royals,1543.9941756835306,1520.7150725281062,1531.1913449827437,1533.5179032288931,Sudurpaschim Royals,0.0
espn_1462657,S1,2024-12-11,Kathmandu Gorkhas,Lumbini Lions,1488.4138233728174,1469.2111020644004,1499.751259395788,1457.8736660414297,Kathmandu Gorkhas,1.0
espn_1462658,S1,2024-12-12,Biratnagar Kings,Pokhara Avengers,1477.2550311319876,1478.3706982480296,1477.2935647765937,1478.3321646034235,,0.5
espn_1462659,S1,2024-12-12,Janakpur Bolts,Kathmandu Gorkhas,1531.1913449827437,1499.751259395788,1542.1083972886897,1488.834207089842,Janakpur Bolts,1.0
espn_1462660,S1,2024-12-13,Karnali Yaks,Lumbini Lions,1513.5768349711905,1457.8736660414297,1523.669232467692,1447.7812685449283,Karnali Yaks,1.0
espn_1462661,S1,2024-12-13,Biratnagar Kings,Chitwan Rhinos,1477.2935647765937,1508.4632619999377,1490.367248997128,1495.3895777794035,Biratnagar Kings,1.0
espn_1462662,S1,2024-12-14,Kathmandu Gorkhas,Pokhara Avengers,1488.834207089842,1478.3321646034235,1500.4715898259285,1466.694781867337,Kathmandu Gorkhas,1.0
espn_1462663,S1,2024-12-14,Chitwan Rhinos,Janakpur Bolts,1495.3895777794035,1542.1083972886897,1508.9935329531224,1528.5044421149707,Chitwan Rhinos,1.0
espn_1462664,S1,2024-12-15,Biratnagar Kings,Kathmandu Gorkhas,1490.367248997128,1500.4715898259285,1478.716142206621,1512.1226966164354,Kathmandu Gorkhas,0.0
espn_1462665,S1,2024-12-15,Pokhara Avengers,Sudurpaschim Royals,1466.694781867337,1533.5179032288931,1456.9747267477087,1543.2379583485215,Sudurpaschim Royals,0.0
espn_1462666,S1,2024-12-16,Karnali Yaks,Sudurpaschim Royals,1523.669232467692,1543.2379583485215,1512.3443985193787,1554.5627922968347,Sudurpaschim Royals,0.0
espn_1462667,S1,2024-12-18,Chitwan Rhinos,Karnali Yaks,1508.9935329531224,1512.3443985193787,1497.1092641613184,1524.2286673111828,Karnali Yaks,0.0
espn_1462668,S1,2024-12-18,Janakpur Bolts,Sudurpaschim Royals,1528.5044421149707,1554.5627922968347,1517.4027818015065,1565.664452610299,Sudurpaschim Royals,0.0
espn_1462669,S1,2024-12-19,Janakpur Bolts,Karnali Yaks,1517.4027818015065,1524.2286673111828,1529.6385092065937,1511.9929399060957,Janakpur Bolts,1.0
espn_1462670,S1,2024-12-21,Janakpur Bolts,Sudurpaschim Royals,1529.6385092065937,1565.664452610299,1542.8783608367442,1552.4246009801484,Janakpur Bolts,1.0
espn_1510977,S2,2025-11-17,Janakpur Bolts,Kathmandu Gorkhas,1521.439180418372,1506.0613483082177,1508.9083954767327,1518.592133249857,Kathmandu Gorkhas,0.0
espn_1510978,S2,2025-11-18,Chitwan Rhinos,Karnali Yaks,1498.5546320806593,1505.9964699530478,1510.8116247544062,1493.739477279301,Chitwan Rhinos,1.0
espn_1510979,S2,2025-11-18,Biratnagar Kings,Pokhara Avengers,1489.3580711033105,1478.4873633738544,1500.9827326328361,1466.8627018443287,Biratnagar Kings,1.0
espn_1510980,S2,2025-11-19,Kathmandu Gorkhas,Sudurpaschim Royals,1518.592133249857,1526.212300490074,1506.8552823086131,1537.949151431318,Sudurpaschim Royals,0.0
espn_1510981,S2,2025-11-20,Chitwan Rhinos,Lumbini Lions,1510.8116247544062,1473.890634272464,1497.5411975113536,1487.1610615155166,Lumbini Lions,0.0
espn_1510982,S2,2025-11-21,Pokhara Avengers,Sudurpaschim Royals,1466.8627018443287,1537.949151431318,1457.2842441641885,1547.527609111458,Sudurpaschim Royals,0.0
espn_1510983,S2,2025-11-22,Karnali Yaks,Lumbini Lions,1493.739477279301,1487.1610615155166,1505.5122939962614,1475.3882447985561,Karnali Yaks,1.0
espn_1510984,S2,2025-11-22,Biratnagar Kings,Kathmandu Gorkhas,1500.9827326328361,1506.8552823086131,1513.185543999163,1494.6524709422863,Biratnagar Kings,1.0
espn_1510985,S2,2025-11-24,Biratnagar Kings,Janakpur Bolts,1513.185543999163,1508.9083954767327,1525.0378239850572,1497.0561154908385,Biratnagar Kings,1.0
espn_1510986,S2,2025-11-24,Karnali Yaks,Sudurpaschim Royals,1505.5122939962614,1547.527609111458,1494.9564187891306,1558.083484318589,Sudurpaschim Royals,0.0
espn_1510987,S2,2025-11-25,Kathmandu Gorkhas,Lumbini Lions,1494.6524709422863,1475.3882447985561,1505.9877891602623,1464.05292658058,Kathmandu Gorkhas,1.0
espn_1510988,S2,2025-11-26,Biratnagar Kings,Chitwan Rhinos,1525.0378239850572,1497.5411975113536,1512.0901019803352,1510.4889195160756,Chitwan Rhinos,0.0
espn_1510989,S2,2025-11-27,Lumbini Lions,Sudurpaschim Royals,1464.05292658058,1558.083484318589,1455.2235886379683,1566.9128222612007,Sudurpaschim Royals,0.0
espn_1510990,S2,2025-11-27,Janakpur Bolts,Pokhara Avengers,1497.0561154908385,1457.2842441641885,1483.6884126279933,1470.6519470270337,Pokhara Avengers,0.0
espn_1510991,S2,2025-11-28,Chitwan Rhinos,Kathmandu Gorkhas,1510.4889195160756,1505.9877891602623,1498.3334646782569,1518.143243998081,Kathmandu Gorkhas,0.0
espn_1510992,S2,2025-11-28,Biratnagar Kings,Karnali Yaks,1512.0901019803352,1494.9564187891306,1523.4988047831923,1483.5477159862735,Biratnagar Kings,1.0
espn_1510993,S2,2025-11-29,Lumbini Lions,Pokhara Avengers,1455.2235886379683,1470.6519470270337,1467.7561152699625,1458.1194203950395,Lumbini Lions,1.0
espn_1510994,S2,2025-11-29,Janakpur Bolts,Sudurpaschim Royals,1483.6884126279933,1566.9128222612007,1474.5091370550017,1576.0920978341924,Sudurpaschim Royals,0.0
espn_1510995,S2,2025-11-30,Karnali Yaks,Kathmandu Gorkhas,1483.5477159862735,1518.143243998081,1472.738669702381,1528.9522902819735,Kathmandu Gorkhas,0.0
espn_1510996,S2,2025-12-02,Chitwan Rhinos,Janakpur Bolts,1498.3334646782569,1474.5091370550017,1485.5118888632944,1487.3307128699641,Janakpur Bolts,0.0
espn_1510997,S2,2025-12-02,Karnali Yaks,Pokhara Avengers,1472.738669702381,1458.1194203950395,1460.2340365058892,1470.6240535915313,Pokhara Avengers,0.0
espn_1510998,S2,2025-12-03,Biratnagar Kings,Lumbini Lions,1523.4988047831923,1467.7561152699625,1509.589871805163,1481.6650482479918,Lumbini Lions,0.0
espn_1510999,S2,2025-12-04,Kathmandu Gorkhas,Pokhara Avengers,1528.9522902819735,1470.6240535915313,1538.9564200346174,1460.6199238388874,Kathmandu Gorkhas,1.0
espn_1511000,S2,2025-12-04,Chitwan Rhinos,Sudurpaschim Royals,1485.5118888632944,1576.0920978341924,1476.5714118192286,1585.0325748782582,Sudurpaschim Royals,0.0
espn_1511001,S2,2025-12-05,Janakpur Bolts,Lumbini Lions,1487.3307128699641,1481.6650482479918,1475.1350450902269,1493.860716027729,Lumbini Lions,0.0
espn_1511002,S2,2025-12-06,Biratnagar Kings,Sudurpaschim Royals,1509.589871805163,1585.0325748782582,1524.1553750873459,1570.4670715960754,Biratnagar Kings,1.0
espn_1511003,S2,2025-12-06,Chitwan Rhinos,Pokhara Avengers,1476.5714118192286,1460.6199238388874,1464.020853732208,1473.170481925908,Pokhara Avengers,0.0
espn_1511004,S2,2025-12-07,Janakpur Bolts,Karnali Yaks,1475.1350450902269,1460.2340365058892,1462.6206978162231,1472.748383779893,Karnali Yaks,0.0
espn_1511005,S2,2025-12-09,Biratnagar Kings,Sudurpaschim Royals,1524.1553750873459,1570.4670715960754,1513.7455177939162,1580.876928889505,Sudurpaschim Royals,0.0
espn_1511006,S2,2025-12-10,Kathmandu Gorkhas,Lumbini Lions,1538.9564200346174,1493.860716027729,1525.4075577221797,1507.4095783401667,Lumbini Lions,0.0
espn_1511007,S2,2025-12-11,Biratnagar Kings,Lumbini Lions,1513.7455177939162,1507.4095783401667,1501.5267064534917,1519.6283896805912,Lumbini Lions,0.0
espn_1511008,S2,2025-12-13,Lumbini Lions,Sudurpaschim Royals,1519.6283896805912,1580.876928889505,1533.7221941759526,1566.7831243941437,Lumbini Lions,1.0
