player_name,country,primary_role,batting_hand,bowling_type,date_of_birth,age,career_runs,career_balls_faced,batting_matches,career_wickets,career_balls_bowled,career_overs,bowling_matches,total_matches,career_strike_rate,career_economy
RK Paudel,Nepal,Batter,Right,Spin,2002-07-06,23.0,555,506,17,18,198,33.0,11,17,109.68,6.39
RS Bopara,England,Batter,Right,Medium Pace,1985-05-04,41.0,523,404,15,5,110,18.3,7,15,129.46,6.98
B Bhandari,Nepal,Batter,Right,,1993-11-08,32.0,499,471,18,0,6,1.0,0,18,105.94,0.00
SA Zaib,England,Batter,Left,Spin,1998-05-22,27.0,391,307,16,18,289,48.2,16,16,127.36,6.39
DS Airee,Nepal,Batter,Right,Pace,2000-02-03,26.0,389,282,17,21,303,50.5,16,17,137.94,7.96
Basir Ahamad,Afghanistan,Batter,Right,Medium Pace,2001-05-15,25.0,372,323,16,10,239,39.8,13,16,115.17,6.93
Kushal Malla,Nepal,Batter,Left,Medium Pace,2002-11-04,23.0,358,316,15,11,265,44.2,13,15,113.29,7.25
JDS Neesham,New Zealand,Batter,Left,Pace,1990-09-17,35.0,346,194,13,14,234,39.0,13,13,178.35,8.77
BKEL Milantha,Nepal,Batter,Right,,2001-08-21,24.0,323,281,12,0,6,1.0,0,12,114.95,0.00
AM Rossington,England,Batter,Right,,1993-06-02,32.0,323,228,7,0,6,1.0,0,7,141.67,0.00
Lokesh Bam,Nepal,Batter,Right,Medium Pace,2002-11-19,23.0,301,273,16,1,11,1.8,1,16,110.26,4.36
WG Bosisto,Australia,Batter,Right,Spin,1992-02-14,34.0,290,261,11,15,232,38.7,12,12,111.11,6.41
I Pandey,Nepal,Batter,Right,Medium Pace,2001-09-05,24.0,288,286,15,6,94,15.7,10,15,100.70,7.09
Aasif Sheikh,Nepal,Batter,Right,,2001-06-22,24.0,267,257,17,0,6,1.0,0,17,103.89,0.00
MJ Guptill,New Zealand,Batter,Right,,1986-09-30,39.0,264,208,12,0,6,1.0,0,12,126.92,0.00
DJM Short,Australia,Batter,Right,Pace,1990-08-09,35.0,256,222,10,0,87,14.5,6,10,115.32,8.41
Aarif Sheikh,Nepal,Batter,Right,,1997-10-04,28.0,255,235,16,0,6,1.0,0,16,108.51,0.00
MRJ Watt,Scotland,Batter,Right,Spin,1996-03-29,30.0,246,167,7,6,138,23.0,7,7,147.31,6.35
D Khanal,Nepal,Batter,Right,,2001-07-25,24.0,243,274,15,0,24,4.0,2,15,88.69,7.00
Gulsan Jha,Nepal,Batter,Right,Pace,2002-06-12,23.0,242,200,13,4,117,19.5,8,13,121.00,7.95
S Jora,Nepal,Batter,Right,Medium Pace,2002-12-09,23.0,235,232,17,1,23,3.8,2,17,101.29,5.74
AGS Gous,USA,Batter,Right,,1998-11-11,27.0,225,143,6,0,6,1.0,0,6,157.34,0.00
D Kharel,Nepal,Batter,Right,Spin,2002-04-09,23.0,220,218,11,1,12,2.0,2,11,100.92,7.50
K Bhurtel,Nepal,Batter,Right,Medium Pace,1997-11-01,28.0,210,185,13,10,234,39.0,13,13,113.51,7.49
AK Sah,Nepal,Batter,Right,Medium Pace,2002-03-25,24.0,205,197,13,4,121,20.2,6,13,104.06,6.79
