season,team,player_name,batting_matches,bowling_matches,total_matches,runs_scored,balls_faced,fours,sixes,strike_rate,wickets_taken,balls_bowled,overs_bowled,runs_conceded,economy_rate,playing_role
Season 1,Biratnagar Kings,Basir Ahamad,7,6,7,181,152,0,0,119.08,6,115,19.2,126,6.57,All-rounder
Season 1,Biratnagar Kings,MJ Guptill,6,0,6,139,120,0,0,115.83,0,0,0.0,0,0,Batter
Season 1,Biratnagar Kings,Lokesh Bam,7,1,7,131,105,0,0,124.76,1,6,1.0,8,8.00,Batter
Season 1,Biratnagar Kings,NR Kirton,7,3,7,95,107,0,0,88.79,0,21,3.5,29,8.29,Batter
Season 1,Biratnagar Kings,RP Magar,5,1,5,78,77,0,0,101.30,1,14,2.3,22,9.43,Batter
Season 1,Biratnagar Kings,SA Edwards,3,0,3,60,55,0,0,109.09,0,0,0.0,0,0,Batter
Season 1,Biratnagar Kings,D Bohara,6,0,6,60,57,0,0,105.26,0,0,0.0,0,0,Batter
Season 1,Biratnagar Kings,CB Sole,6,7,7,35,30,0,0,116.67,11,181,30.2,212,7.03,Bowler
Season 1,Biratnagar Kings,Aqib Ilyas,2,2,2,23,32,0,0,71.88,1,42,7.0,50,7.14,Bowler
Season 1,Biratnagar Kings,S Lamichhane,5,7,7,22,22,0,0,100.00,8,175,29.2,214,7.34,Bowler
Season 1,Biratnagar Kings,Pratis GC,5,6,6,20,18,0,0,111.11,11,121,20.2,137,6.79,Bowler
Season 1,Biratnagar Kings,A Kharel,3,5,5,17,22,0,0,77.27,5,86,14.3,123,8.58,Bowler
Season 1,Biratnagar Kings,Ismat Alam,3,3,3,11,20,0,0,55.00,2,44,7.3,76,10.36,Bowler
Season 1,Biratnagar Kings,N Bhatta,2,0,2,11,27,0,0,40.74,0,0,0.0,0,0,Batter
Season 1,Biratnagar Kings,Subash Bhandari,1,2,2,6,10,0,0,60.00,1,25,4.2,31,7.44,Bowler
Season 1,Biratnagar Kings,JK Mukhiya,0,1,1,0,0,0,0,0,0,13,2.2,16,7.38,Batter
Season 1,Chitwan Rhinos,RS Bopara,8,4,8,286,215,0,0,133.02,3,57,9.5,59,6.21,Batter
Season 1,Chitwan Rhinos,Kushal Malla,8,8,8,223,197,0,0,113.20,10,163,27.2,179,6.59,All-rounder
Season 1,Chitwan Rhinos,Hassan Eisakhil,6,0,6,125,100,0,0,125.00,0,0,0.0,0,0,Batter
Season 1,Chitwan Rhinos,S Karki,7,0,7,108,116,0,0,93.10,0,0,0.0,0,0,Batter
Season 1,Chitwan Rhinos,LM Benkenstein,5,3,5,85,77,0,0,110.39,4,55,9.2,71,7.75,Batter
Season 1,Chitwan Rhinos,AS Routela,6,5,6,85,57,0,0,149.12,4,58,9.7,71,7.34,Batter
Season 1,Chitwan Rhinos,B Rawal,5,0,5,54,68,0,0,79.41,0,0,0.0,0,0,Batter
Season 1,Chitwan Rhinos,S Vesawkar,4,2,4,38,48,0,0,79.17,1,36,6.0,53,8.83,Bowler
Season 1,Chitwan Rhinos,R Dhakal,2,8,8,22,18,0,0,122.22,16,179,29.8,246,8.25,Bowler
Season 1,Chitwan Rhinos,Nar Sarki,1,1,1,22,14,0,0,157.14,0,12,2.0,19,9.50,Batter
